"txnidx","date","date2","status","code","description","comment","account","amount","commodity","credit","debit","posting-status","posting-comment"
"1","2008-01-01","","","","income","","assets:bank:checking","1","$","","1","",""
"1","2008-01-01","","","","income","","income:salary","-1","$","1","","",""
"2","2008-06-01","","","","gift","","assets:bank:checking","1","$","","1","",""
"2","2008-06-01","","","","gift","","income:gifts","-1","$","1","","",""
"3","2008-06-02","","","","save","","assets:bank:saving","1","$","","1","",""
"3","2008-06-02","","","","save","","assets:bank:checking","-1","$","1","","",""
"4","2008-06-03","","*","","eat & shop","","expenses:food","1","$","","1","",""
"4","2008-06-03","","*","","eat & shop","","expenses:supplies","1","$","","1","",""
"4","2008-06-03","","*","","eat & shop","","assets:cash","-2","$","2","","",""
"5","2008-12-31","","*","","pay off","","liabilities:debts","1","$","","1","",""
"5","2008-12-31","","*","","pay off","","assets:bank:checking","-1","$","1","","",""
